"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pk"
"PBANKA_0803500","-0.0013 (0.7)","0.0021 (0.83)","0.17 (4.9e-27)","0.12 (4e-11)","0.046 (0.36)","-0.17 (2.2e-15)","-0.0092 (0.61)","-0.0071 (0.049)","-0.00054 (0.67)","-9.9e-05 (0.0068)","0.00044 (0.85)","6.4e-05 (0.68)","0.0059 (0.68)","PF3D7_0705900","PKNH_0104400"
"PBANKA_0803800","-0.01 (0.79)","-0.0047 (0.49)","0.079 (6.1e-18)","-0.099 (3.1e-27)","-0.0034 (0.74)","0.00021 (0.96)","0.0098 (0.31)","0.33 (3.8e-09)","-0.56 (1.1e-13)","-0.01 (8.4e-11)","0.0078 (0.8)","0.011 (0.6)","-0.16 (0.78)","PF3D7_0706200","PKNH_0104700"
"PBANKA_0804500","-0.11 (0.69)","0.00013 (0.37)","2.3e-05 (0.068)","6.7e-05 (4.8e-06)","0.003 (0.14)","0.0069 (0.15)","0.32 (2.1e-14)","-0.092 (0.15)","-0.67 (1.2e-11)","3.3e-06 (0.055)","0.94 (0.8)","0.97 (0.6)","-0.28 (0.63)","PF3D7_0707300","PKNH_0105800"
"PBANKA_0805800","-0.0016 (0.76)","0.0095 (0.61)","0.89 (2.9e-76)","-0.6 (7.5e-125)","0.0012 (1)","0.14 (2.4e-16)","-0.4 (6.8e-14)","-0.099 (8.1e-13)","-0.00053 (0.79)","0.00015 (0.56)","-0.01 (0.8)","-1e-04 (0.6)","0.00087 (0.63)","PF3D7_0319500","PKNH_0821700"
"PBANKA_0806800","-0.0091 (0.72)","-0.0013 (1.8e-10)","-0.00053 (9.1e-07)","0.0021 (1.4e-91)","0.00046 (0.00037)","0.0027 (0.62)","0.00071 (0.071)","0.19 (1.9e-05)","-0.74 (1.6e-10)","-0.00045 (0.019)","0.0049 (0.8)","0.0016 (0.6)","-0.048 (0.63)","PF3D7_0318400","PKNH_0823000"
"PBANKA_0807500","0.019 (0.88)","-0.039 (0.001)","0.026 (8.3e-12)","0.013 (0.018)","-0.051 (5.8e-08)","0.012 (6.9e-06)","-0.009 (0.13)","0.013 (0.067)","1.2 (6.4e-22)","-1.1 (1.1e-12)","-0.035 (1)","-4.2 (0.53)","-0.18 (0.56)","PF3D7_0317700","PKNH_0824100"
"PBANKA_0807600","1 (2.1e-09)","0.11 (0.74)","-0.76 (1.9e-84)","-0.00084 (0.13)","0 (1)","0 (1)","0.0035 (0.077)","-0.042 (4e-08)","-0.002 (0.75)","0.067 (0.00073)","-0.79 (0.8)","-0.21 (0.85)","-0.091 (0.67)","PF3D7_0317600","PKNH_0824200"
"PBANKA_0808200","-0.1 (0.092)","0.013 (0.49)","0.65 (7.4e-90)","-0.5 (4.7e-82)","-0.036 (0.4)","-0.1 (3.6e-20)","0.011 (0.18)","-0.03 (0.012)","0.0015 (0.79)","-0.0052 (0.25)","0.28 (0.8)","-0.023 (1)","-0.073 (0.63)","PF3D7_0317000","PKNH_0824800"
"PBANKA_0808300","-0.029 (0.67)","0.02 (0.31)","0.35 (2e-40)","-0.23 (5.8e-109)","-0.0024 (0.35)","-0.00058 (0.64)","0.014 (0.0016)","0.039 (0.13)","0.24 (0.1)","0.039 (0.25)","0.69 (0.81)","0.055 (0.96)","-0.24 (0.48)","PF3D7_0316900","PKNH_0824900"
"PBANKA_0808500","-0.053 (0.37)","-0.0048 (0.53)","0.053 (2.3e-43)","-0.02 (5.4e-28)","-0.008 (0.00013)","0.028 (9e-30)","-0.064 (1.7e-07)","-0.016 (0.00036)","1.1 (1.1e-30)","-1.2 (1.4e-15)","0.026 (1)","0.3 (0.76)","-0.12 (0.04)","PF3D7_0907000","PKNH_0704800"
"PBANKA_0809300","-0.013 (0.85)","-0.012 (0.71)","0.25 (5.1e-49)","0.21 (1e-25)","-0.00076 (1)","-0.13 (5.1e-16)","0.093 (2.1e-06)","-0.051 (7.7e-11)","0.00023 (0.89)","0.096 (2.6e-11)","-0.39 (0.8)","-0.26 (0.6)","0.029 (0.82)","PF3D7_0907900","PKNH_0705700"
"PBANKA_0809400","-0.0053 (0.71)","0.0024 (0.75)","0.034 (9.5e-24)","0.15 (1.4e-204)","0.16 (2.3e-18)","-0.0034 (0.92)","-0.01 (0.94)","-0.18 (6.9e-11)","-0.0011 (0.53)","0.0023 (0.44)","0 (1)","0 (1)","0.017 (0.65)","PF3D7_0908000","PKNH_0705800"
"PBANKA_0809600","-0.0013 (0.81)","-1.7e-05 (0.92)","-6e-04 (3.4e-45)","1.6e-05 (0.85)","0.024 (2.6e-11)","0.062 (1.2e-14)","0.86 (3.5e-22)","-0.57 (2e-31)","0.075 (0.00039)","-0.28 (8.6e-13)","-0.0055 (1)","0.14 (0.6)","-0.014 (0.68)","PF3D7_0908200","PKNH_0706200"
"PBANKA_0811700","0.0015 (0.0051)","0.00039 (0.98)","0.1 (1.5e-32)","0.018 (0.065)","0.012 (0.64)","-0.042 (2.8e-09)","0.16 (0.00021)","-0.21 (0.0053)","-0.37 (4.8e-07)","0.0011 (7.3e-05)","-0.0022 (0.9)","-0.0041 (0.6)","0.00096 (0.56)","PF3D7_0910600","PKNH_0708600"
"PBANKA_0812100","-0.0022 (0.72)","-0.0024 (0.83)","0.018 (0.00013)","0.29 (5.2e-150)","0.53 (1.3e-35)","-0.41 (2e-69)","-0.019 (0.09)","-0.0076 (0.057)","3e-04 (0.012)","-0.00027 (0.00091)","-0.00074 (0.86)","6.5e-05 (1)","0.0017 (0.88)","PF3D7_0911000","PKNH_0709000"
"PBANKA_0812200","-0.032 (0.7)","4e-04 (0.51)","-0.0021 (0.057)","-0.00015 (9.9e-10)","5.6e-05 (0.025)","6.8e-05 (0.66)","-0.00025 (1.5e-31)","0.015 (0.0089)","1.6 (8.8e-40)","-1.3 (9.8e-17)","0.5 (0.9)","0.66 (0.61)","0.034 (0.63)","PF3D7_0911100","PKNH_0709100"
"PBANKA_0812500","1e-04 (0.72)","0.013 (0.83)","0.17 (1.5e-11)","0.043 (0.077)","0.23 (3.7e-06)","-0.1 (2.8e-17)","-0.064 (4.8e-08)","6e-05 (0.5)","3e-05 (0.76)","2e-04 (0.041)","0.0016 (0.9)","0.00077 (0.71)","2.1e-05 (0.97)","PF3D7_0911400","PKNH_0709400"
"PBANKA_0813500","0.056 (0.15)","-0.093 (3.5e-05)","0.53 (1.2e-27)","-0.21 (3.8e-48)","0.45 (1.4e-54)","-0.1 (2.9e-11)","0.25 (4.4e-05)","-0.3 (1.1e-09)","-0.25 (3.4e-08)","-0.0094 (0.41)","-0.051 (0.87)","4.1e-05 (1)","0.03 (0.71)","PF3D7_0912500","PKNH_0710400"
"PBANKA_0814000","0.81 (0.0015)","-1.1 (2.6e-12)","-0.074 (2.2e-06)","0.081 (1.4e-34)","-0.064 (2.6e-07)","0.0075 (0.026)","-0.071 (4.6e-14)","-0.0033 (0.4)","0.14 (2.7e-21)","-0.045 (0.0019)","0.14 (0.8)","0.0014 (0.6)","0.65 (0.088)","PF3D7_0913000","PKNH_0710900"
"PBANKA_0815200","-0.021 (0.056)","0.025 (0.0074)","-0.04 (0.27)","0.022 (5.5e-09)","0.021 (0.032)","0.14 (8e-13)","-0.24 (5e-09)","-0.01 (0.023)","-0.0028 (0.54)","0.051 (4.6e-07)","-0.17 (0.8)","-0.13 (0.6)","-0.00048 (1)","PF3D7_0914200","PKNH_0712100"
"PBANKA_0816100","-0.023 (0.25)","0.019 (0.34)","0.23 (1e-17)","-0.16 (1.3e-24)","0.038 (0.34)","0.14 (2.9e-08)","0.2 (0.034)","-0.21 (4.7e-14)","-0.022 (0.00012)","-0.013 (0.27)","0.078 (0.8)","0.096 (0.6)","0.025 (0.65)","PF3D7_0915100","PKNH_0713100"
"PBANKA_0816700","-0.063 (0.53)","0.0023 (0.9)","0.13 (2.4e-34)","0.3 (2.8e-113)","0.7 (8.2e-50)","-0.49 (1.1e-65)","-0.15 (0.13)","-0.37 (9.4e-20)","0.23 (4.5e-08)","-0.59 (1.7e-07)","0.22 (0.99)","0.95 (0.6)","0.0065 (0.99)","PF3D7_0915700","PKNH_0713700"
"PBANKA_0817300","-0.023 (0.69)","0.00034 (0.83)","-0.00026 (4.3e-21)","0.00012 (0.0082)","0.0088 (7.4e-16)","0.0081 (0.00088)","0.005 (0.69)","0.29 (4e-23)","0.11 (0.52)","-0.13 (0.092)","1.6 (0.8)","0 (1)","-0.13 (0.63)","PF3D7_0916300","PKNH_0714300"
"PBANKA_0817500","-0.046 (0.32)","-0.026 (0.4)","0.12 (9.4e-13)","0.44 (6.8e-63)","-0.55 (1.9e-16)","-0.11 (7.1e-15)","8.7e-05 (0.011)","0.0015 (0.021)","-0.00047 (0.77)","-0.0014 (8.9e-12)","0.071 (0.8)","0.001 (0.89)","0.11 (0.55)","PF3D7_0916500","PKNH_0714500"
"PBANKA_0819100","-0.076 (0.68)","0.054 (1.5e-06)","0.16 (6.4e-21)","-0.19 (2.3e-107)","-0.0014 (0.69)","8e-04 (0.66)","0.0053 (0.13)","0.2 (1.3e-10)","0.22 (0.18)","0.028 (0.66)","1.2 (0.82)","0.46 (0.71)","-0.24 (0.55)","PF3D7_0918100","PKNH_0716100"
"PBANKA_0819200","0.11 (0.7)","-0.76 (2.5e-12)","0.095 (5.9e-24)","-0.1 (1.1e-44)","-0.026 (0.0055)","-0.0023 (0.16)","0.014 (0.0013)","0.12 (5.5e-06)","1 (1.5e-15)","0.0069 (0.96)","-0.91 (0.88)","-0.32 (0.85)","-0.17 (0.66)","PF3D7_0918200.1","PKNH_0716200"
"PBANKA_0820700","-0.044 (0.34)","0.0076 (0.29)","0.12 (2e-62)","0.011 (0.046)","0.25 (1.2e-40)","-0.21 (4.7e-47)","0.41 (4.9e-11)","-0.34 (2e-22)","0.069 (0.0031)","-0.67 (4e-06)","0.11 (0.8)","0.5 (0.71)","-0.034 (0.68)","PF3D7_0919800","PKNH_0717800"
"PBANKA_0821200","-0.075 (0.66)","-0.028 (0.36)","0.016 (0.0047)","0.086 (8e-33)","0.44 (4.8e-31)","-0.29 (3.4e-35)","-0.045 (0.0011)","-0.015 (0.023)","-0.0013 (0.0069)","0.0056 (0.27)","-0.0017 (0.85)","-0.00033 (0.96)","0.38 (0.24)","PF3D7_0920300","PKNH_0718300"
"PBANKA_0821800","-0.087 (0.00069)","0.19 (2.7e-07)","0.48 (4.8e-34)","-0.42 (4.1e-67)","0.71 (9.1e-59)","-0.46 (7.8e-99)","-0.021 (0.0032)","-0.004 (0.46)","0.0097 (0.18)","-0.0091 (0.048)","0.027 (0.8)","0.00044 (0.89)","0.068 (0.47)","PF3D7_0920900","PKNH_0718900"
"PBANKA_0822100","-0.039 (0.14)","0.1 (0.0021)","-0.061 (0.21)","-0.036 (1.2e-10)","-0.016 (4.1e-05)","0.00038 (0.78)","0.0044 (0.68)","0.095 (7.2e-12)","-0.32 (1.1e-21)","0.002 (0.092)","0.1 (0.8)","-0.0054 (1)","0.045 (0.7)","PF3D7_0921200","PKNH_0719200"
"PBANKA_0822600","-0.3 (0.028)","0.0013 (0.98)","0.57 (8.7e-83)","-0.13 (5.3e-13)","-0.35 (3.7e-22)","-0.035 (0.01)","0.16 (8.8e-05)","0.052 (0.34)","-0.28 (4.7e-07)","0.16 (0.092)","2.2 (0.8)","0.94 (0.85)","-0.15 (0.85)","PF3D7_0921700","PKNH_0719700"
"PBANKA_0823600","0.52 (0.0012)","-0.86 (2.2e-08)","0.83 (2.3e-84)","-0.77 (7.8e-193)","-0.016 (0.19)","-0.00049 (0.95)","-0.011 (0.35)","-0.00075 (0.96)","0.048 (5.9e-06)","-0.012 (0.078)","0.37 (0.8)","0.073 (0.6)","-0.024 (0.92)","PF3D7_0922700","PKNH_0720700"
"PBANKA_0823700","-8e-04 (0.45)","-0.0024 (0.9)","0.046 (3.8e-14)","0.023 (0.0026)","0.11 (2.2e-13)","0.34 (1e-72)","-0.56 (7.8e-13)","-0.43 (1.6e-13)","0.32 (0.00016)","-0.13 (0.0078)","0 (1)","-0.12 (0.71)","0.0034 (0.63)","PF3D7_0922800","PKNH_0720800"
"PBANKA_0824800","-0.83 (0.02)","-0.099 (0.29)","-0.017 (0.067)","-0.05 (3.8e-46)","-0.0034 (0.39)","-0.0035 (0.00026)","-0.0029 (0.16)","-0.0025 (0.46)","0.00085 (0.33)","0.13 (1.9e-11)","1.1 (0.8)","0.67 (0.6)","0.77 (0.0076)","PF3D7_0923900","PKNH_0721900"
"PBANKA_0825800","-0.02 (0.71)","0.049 (0.61)","0.02 (0.00026)","0.092 (1.1e-19)","0.49 (8.3e-30)","-0.14 (2.4e-07)","-0.26 (9.4e-10)","-0.028 (6.2e-06)","0.14 (6.4e-05)","-0.27 (0.049)","0.0079 (0.8)","0.0041 (0.6)","-9.7e-05 (0.98)","PF3D7_0925000","PKNH_0722900"
"PBANKA_0826700","0.48 (2.1e-05)","-0.54 (2.2e-07)","-0.25 (2.3e-09)","-0.0023 (0.091)","-0.00045 (0.91)","0.0099 (8.3e-13)","-0.02 (0.21)","-0.0039 (0.026)","-0.00019 (0.81)","0.0034 (0.26)","0.21 (0.8)","0.11 (0.6)","0.13 (0.5)","PF3D7_0925900","PKNH_0723800"
"PBANKA_0826800","0.0097 (0.79)","0.042 (0.0068)","-0.0035 (0.17)","-0.0048 (7.8e-14)","0.00068 (0.052)","0.007 (2.3e-13)","0.23 (2.5e-21)","-0.017 (0.46)","0.61 (2e-05)","-0.13 (0.08)","0.62 (0.8)","0.5 (0.6)","-0.073 (0.63)","PF3D7_0926000","PKNH_0723900"
"PBANKA_0827100","-0.02 (0.7)","0.00047 (0.98)","-0.0081 (0.033)","0.038 (7.2e-18)","-0.025 (0.085)","0.009 (0.03)","-0.044 (0.37)","0.38 (2.1e-13)","0.19 (0.22)","-0.73 (1.1e-07)","1.2 (0.8)","-1.7 (0.6)","-0.23 (0.63)","PF3D7_0926300","PKNH_0724200"
"PBANKA_0827700","-0.0023 (0.88)","-0.0098 (0.64)","0.06 (6.5e-15)","0.15 (3.1e-43)","-0.04 (0.15)","0.078 (2.8e-10)","0.052 (0.7)","-0.37 (1.1e-29)","-0.025 (0.074)","-0.032 (1.7e-05)","-0.00064 (0.8)","-0.00037 (0.6)","-0.011 (0.64)","PF3D7_0926900","PKNH_0725200"
"PBANKA_0829100","-0.024 (0.7)","0.017 (0.31)","0.33 (6.1e-66)","-0.075 (1.5e-07)","-0.32 (3.7e-50)","-0.0011 (0.55)","2.5e-05 (8e-05)","0.0032 (0.12)","1 (7.6e-26)","-1.4 (4.6e-14)","0.47 (0.97)","0.31 (0.94)","-0.014 (0.67)","PF3D7_0928300","PKNH_0726700"
"PBANKA_0829300","0.039 (0.72)","-0.1 (1.5e-06)","-0.0023 (0.057)","-1e-04 (0.6)","0.0034 (0.023)","0.021 (1.5e-09)","-0.012 (0.00094)","0.013 (0.08)","1.9 (2.2e-44)","-1.8 (9.7e-25)","1.2 (0.81)","0.59 (0.61)","0.0015 (0.99)","PF3D7_0928500","PKNH_0726900"
"PBANKA_0830000","-0.024 (0.7)","0.27 (0.00019)","0.17 (8.5e-08)","-0.13 (1.4e-10)","0.32 (3.1e-13)","-0.32 (3.2e-45)","-0.017 (0.38)","-0.035 (0.053)","0.001 (0.84)","-0.0046 (0.26)","0.15 (0.8)","-4.2e-05 (0.8)","-0.026 (0.63)","PF3D7_0929200","PKNH_0727700"
"PBANKA_0830200","-0.0026 (0.66)","0.0029 (0.95)","0.14 (1.1e-23)","0.54 (1.6e-164)","0.15 (0.0078)","-0.26 (2e-42)","0.067 (0.00061)","-0.027 (1.8e-07)","-0.00017 (0.84)","0.0068 (0.091)","0 (1)","0 (1)","0.005 (0.78)","PF3D7_0929400","PKNH_0727900"
"PBANKA_0831300","-0.0023 (0.69)","0.2 (0.0033)","0.51 (1.2e-25)","-0.48 (8e-148)","-0.17 (4.5e-16)","-0.011 (0.02)","-0.00012 (1)","-0.022 (0.00036)","-0.00052 (0.88)","-0.0012 (0.26)","-0.00085 (0.84)","-0.00072 (0.65)","-0.0065 (0.92)","PF3D7_0930600.1","PKNH_0729200"
"PBANKA_0832200","-0.0028 (0.76)","0.008 (0.91)","0.87 (7.2e-115)","-0.38 (2.4e-79)","-0.17 (2.3e-08)","-0.022 (0.0097)","0.55 (5.1e-22)","-0.77 (8.2e-20)","-0.29 (3.1e-15)","-6.7e-05 (0.033)","-0.00019 (0.94)","-0.00032 (0.6)","0.01 (0.84)","PF3D7_0931400","PKNH_0730100"
"PBANKA_0833000","0.029 (0.81)","-0.013 (0.34)","0.047 (1.9e-26)","0.022 (1.9e-08)","-0.038 (3.7e-08)","-0.0086 (1.9e-09)","-0.00055 (0.67)","-0.001 (0.13)","0.11 (2.5e-05)","0.98 (2.1e-06)","-0.62 (1)","-4.6 (0.25)","-0.36 (0.55)","PF3D7_0932200","PKNH_0730900"
"PBANKA_0833200","-0.025 (0.96)","-0.49 (0.0019)","0.68 (1.1e-83)","-0.5 (4.8e-124)","-0.091 (0.00067)","-0.018 (1.4e-05)","0.009 (0.069)","-0.012 (0.052)","0.0062 (0.27)","-0.003 (0.13)","0.018 (0.8)","-8.1e-06 (1)","0.32 (0.48)","PF3D7_0932400","PKNH_0731100"
"PBANKA_0834000","-0.2 (0.073)","0.023 (0.76)","0.82 (1e-96)","-0.69 (5.2e-118)","-0.21 (5.7e-18)","-0.0056 (0.11)","0.05 (0.00033)","-0.0085 (0.7)","0.8 (4.4e-24)","-1.2 (3.5e-13)","1.5 (0.8)","0.68 (0.6)","0.0096 (0.98)","PF3D7_0933200","PKNH_0731900"
"PBANKA_0835300","-0.11 (0.79)","-0.21 (0.3)","0.12 (7.4e-06)","-0.28 (5.2e-37)","-0.089 (2.5e-10)","0.00018 (0.97)","-0.0045 (0.45)","0.0094 (4.4e-05)","0.31 (1.1e-13)","-0.5 (7e-04)","-0.16 (1)","1.7 (0.6)","0.33 (0.43)","PF3D7_0934500","PKNH_0733200"
"PBANKA_0836300","-0.009 (0.87)","-0.0067 (0.34)","0.037 (9.6e-10)","0.065 (5.6e-12)","0.15 (2.1e-05)","0.044 (0.13)","-0.36 (3.4e-08)","0.12 (1.2e-06)","0.03 (0.2)","0.074 (1.7e-05)","-0.56 (0.8)","0.13 (0.86)","-0.14 (0.24)","PF3D7_0935800","PKNH_0734400"
"PBANKA_0902200","-0.0017 (0.9)","0.041 (0.43)","0.63 (2e-70)","0.11 (6.9e-08)","-0.11 (0.021)","-0.35 (3.1e-53)","0.32 (3.8e-05)","-0.14 (3e-05)","-0.072 (1.2e-09)","0.21 (5.6e-05)","-0.47 (0.8)","-0.1 (0.99)","-0.042 (0.63)","PF3D7_1146900","PKNH_0944700"
"PBANKA_0903700","0.27 (0.0049)","-0.16 (4.4e-05)","0.0012 (0.28)","0.0057 (0.00048)","-0.0042 (0.057)","0.012 (0.00017)","0.15 (3.3e-10)","0.035 (0.44)","-0.26 (0.043)","-0.2 (1e-05)","0.2 (0.8)","0.082 (0.6)","0.011 (0.85)","PF3D7_1145300","PKNH_0943200"
"PBANKA_0904100","-0.78 (0.00089)","0.0018 (0.99)","0.015 (0.25)","-0.032 (7.6e-54)","0.029 (1.6e-10)","0.04 (4.7e-05)","-0.074 (0.0076)","-0.063 (0.0013)","0.26 (2.4e-13)","0.74 (1.2e-11)","-0.77 (0.99)","2.2 (0.6)","-0.069 (0.94)","PF3D7_1144900","PKNH_0942800"
"PBANKA_0904300","-0.0044 (0.72)","0.057 (0.35)","0.6 (1.5e-53)","-0.37 (7.5e-38)","-0.37 (1.8e-24)","-0.015 (2.9e-05)","0.0047 (0.42)","-0.024 (0.016)","-0.00072 (0.9)","0.00018 (0.065)","0.048 (0.8)","2e-05 (1)","-0.015 (0.63)","PF3D7_1144700","PKNH_0942600"
"PBANKA_0904700","0.88 (6.4e-08)","-0.5 (0.0084)","-0.5 (8.8e-24)","0.048 (0.0028)","-0.12 (2.1e-08)","0.0035 (0.0042)","-0.015 (0.063)","-0.0013 (0.029)","7.4e-05 (0.78)","0.0072 (0.038)","-0.0033 (1)","0.093 (0.61)","0.25 (0.37)","PF3D7_1144300","PKNH_0942200"
"PBANKA_0905000","0.72 (0.0013)","-0.51 (0.00097)","-0.56 (9.9e-42)","-0.00036 (0.89)","0 (1)","9.8e-05 (0.29)","0.23 (3.1e-40)","-0.14 (1.7e-32)","-0.021 (3e-08)","0.093 (5.3e-05)","0.2 (0.96)","0.75 (0.58)","0.71 (0.013)","PF3D7_1144000","PKNH_0941900"
"PBANKA_0905100","0.0026 (2.2e-05)","0.048 (0.33)","0.4 (1.9e-20)","-0.35 (3.4e-87)","-0.06 (1.4e-05)","-0.00064 (0.86)","0.0027 (8.3e-05)","-0.007 (0.4)","-0.00048 (0.37)","0.00027 (0.05)","0.0034 (0.8)","-0.00074 (0.6)","0.12 (0.75)","PF3D7_1143900","PKNH_0941800"
"PBANKA_0905600","0.34 (0.0032)","0.67 (5.4e-08)","-0.99 (6.8e-114)","-0.0034 (0.058)","0 (1)","0.0029 (1.3e-05)","0.053 (1.5e-12)","0.017 (0.11)","-0.028 (0.63)","-0.31 (4.3e-15)","-0.00065 (0.83)","0.016 (0.6)","0.0077 (0.95)","PF3D7_1143400","PKNH_0941300"
"PBANKA_0906500","0.52 (0.0083)","-0.75 (6.7e-05)","-0.69 (2.9e-38)","0.00039 (0.74)","0 (1)","0 (1)","0.069 (6.3e-08)","-0.17 (2.4e-14)","-0.025 (0.0021)","0.017 (0.046)","0.051 (1)","0.14 (0.6)","0.36 (0.059)","PF3D7_1142500","PKNH_0940300"
"PBANKA_0906600","-0.35 (0.0012)","0.089 (0.22)","-0.24 (2.4e-08)","-0.003 (0.2)","0 (1)","0.037 (8e-23)","-0.024 (0.011)","-0.019 (0.0062)","0.17 (4.2e-14)","0.49 (1.5e-06)","5.4 (0.8)","-0.51 (0.93)","-0.29 (0.63)","PF3D7_1142400","PKNH_0940200"
"PBANKA_0906700","-0.12 (0.12)","-0.033 (0.018)","0.041 (1.3e-07)","-0.035 (1.3e-13)","0.031 (0.036)","0.23 (9.2e-28)","-0.51 (6e-08)","-0.022 (0.39)","0.099 (0.087)","-0.94 (2.8e-07)","0.084 (1)","0.62 (0.86)","0.15 (0.75)","PF3D7_1142300","PKNH_0940100"
"PBANKA_0907200","-8.7e-05 (0.69)","0.00095 (0.79)","0.0043 (3.3e-05)","0.056 (8.2e-67)","0.39 (1.3e-47)","-0.13 (4.3e-25)","0.098 (0.33)","-0.18 (7e-11)","0.031 (1.8e-07)","-0.053 (5.9e-06)","0 (1)","0.026 (0.6)","1.9e-05 (0.83)","PF3D7_1141800","PKNH_0939600"
"PBANKA_0907500","-0.024 (0.43)","8e-04 (0.0059)","0.01 (8e-04)","-0.0031 (4.7e-06)","0.014 (7.1e-06)","0.16 (3.9e-42)","-0.59 (3e-13)","-0.061 (1.4e-05)","0.092 (0.0015)","-0.34 (1.6e-05)","0.69 (0.8)","0.21 (0.71)","-0.0058 (0.91)","PF3D7_1141500","PKNH_0939300"
"PBANKA_0907600","-0.003 (0.69)","0.0013 (0.65)","0.018 (1.3e-10)","0.0036 (0.37)","0.26 (1.2e-25)","-0.11 (5.6e-08)","-0.099 (9.4e-06)","-0.013 (0.0029)","-6.1e-05 (0.76)","4e-04 (9.7e-05)","0.001 (0.88)","0.0013 (0.77)","0.093 (0.63)","PF3D7_1141400","PKNH_0939200"
"PBANKA_0907800","0.00036 (0.073)","-0.0043 (0.77)","0.015 (3.3e-06)","0.11 (2e-60)","0.37 (3.5e-26)","-0.22 (1.7e-21)","-0.069 (0.0017)","-0.0089 (0.28)","-0.00035 (0.021)","-0.00069 (0.00063)","-0.00051 (1)","0.00016 (1)","0.00036 (0.63)","PF3D7_1141200","PKNH_0939000"
"PBANKA_0908800","-0.017 (0.7)","0.0043 (0.31)","0.079 (1.2e-50)","-0.087 (5.7e-52)","-0.0088 (0.036)","0.024 (1.1e-06)","0.11 (0.015)","0.82 (2.9e-33)","-1.2 (3.7e-23)","-0.013 (0.014)","0.12 (0.86)","-0.039 (0.6)","-0.025 (0.4)","PF3D7_1140200","PKNH_0938000"
"PBANKA_0908900","0.00036 (0.69)","0.01 (0.81)","0.15 (4.6e-07)","0.061 (6.7e-12)","-0.086 (5.1e-08)","-0.031 (2.2e-08)","0.002 (0.79)","-0.02 (0.0044)","-0.00015 (0.2)","-6.1e-05 (0.57)","0.0097 (0.8)","0.00068 (0.6)","-0.00043 (0.72)","PF3D7_1140100","PKNH_0937900"
"PBANKA_0910000","0.055 (0.72)","0.13 (0.073)","-0.14 (1.7e-07)","-0.056 (1.8e-35)","0.0013 (0.68)","-0.0013 (0.17)","-0.0026 (0.0042)","0.029 (0.045)","-0.09 (7.1e-06)","0.48 (4.3e-08)","-0.08 (1)","-1.4 (0.6)","-0.16 (0.79)","PF3D7_1138700","PKNH_0936900"
"PBANKA_0910100","-0.0087 (0.69)","0.04 (0.41)","1 (8.4e-110)","-0.55 (1.1e-115)","-0.41 (1.3e-50)","-0.0038 (0.69)","-0.041 (0.00049)","0.0016 (0.46)","0.0039 (0.33)","-0.001 (0.11)","0.09 (0.8)","-2.6e-05 (0.68)","-0.0029 (0.91)","PF3D7_1138600","PKNH_0936800"
"PBANKA_0912300","0.4 (1e-06)","0.2 (0.41)","0.11 (0.073)","-0.58 (3.1e-121)","-0.0017 (0.11)","0.006 (0.0016)","0.024 (0.0092)","-0.023 (4.5e-13)","0.00079 (1.6e-17)","0.00068 (1.7e-08)","-0.0012 (0.8)","-0.00069 (0.6)","0.056 (0.63)","PF3D7_1136300","PKNH_0934500"
"PBANKA_0912700","-0.0016 (7.7e-05)","0.0059 (0.75)","0.31 (6.4e-54)","0.16 (4.9e-17)","0.021 (0.75)","-0.19 (2.1e-17)","-0.13 (0.13)","-0.18 (0.00038)","-5e-04 (0.99)","-0.083 (0.019)","-0.0026 (0.8)","0.034 (0.6)","0.0027 (0.77)","PF3D7_1135900","PKNH_0934100"
"PBANKA_0913000","0.00074 (0.84)","0.0096 (0.68)","0.2 (4.3e-18)","0.19 (1.3e-10)","-0.35 (2.5e-14)","-0.0057 (0.0031)","0.0021 (0.16)","-0.022 (0.00039)","0.0034 (0.52)","0.0013 (3e-05)","-0.0025 (0.93)","-0.0041 (0.6)","-0.00033 (0.74)","PF3D7_1135600","PKNH_0933800"
"PBANKA_0913100","-0.011 (0.69)","0.017 (0.37)","0.039 (1.3e-06)","0.12 (2.6e-16)","-0.11 (2.5e-08)","0.39 (2.5e-50)","-0.35 (6.7e-10)","0.0059 (0.72)","-0.1 (0.011)","-0.029 (0.17)","0.26 (0.8)","0.00038 (0.77)","-0.016 (0.63)","PF3D7_1135500","PKNH_0933700"
"PBANKA_0914000","-0.025 (0.69)","0.011 (0.82)","0.24 (6.2e-60)","-0.062 (1.7e-13)","-0.21 (2.3e-42)","-0.0088 (0.028)","0.2 (7.8e-15)","0.21 (2.3e-06)","-0.81 (1.1e-08)","-0.067 (0.1)","0.33 (0.8)","-0.00071 (0.6)","-0.032 (0.67)","PF3D7_1134400","PKNH_0932600"
"PBANKA_0917000","-0.018 (0.71)","-0.00049 (0.94)","0.018 (1.3e-14)","0.15 (1e-168)","0.56 (7.6e-67)","-0.16 (8.6e-11)","-0.26 (7.7e-08)","-0.0032 (0.88)","-0.011 (0.62)","0.0011 (0.46)","0 (1)","-0.013 (0.71)","-0.0039 (0.63)","PF3D7_1131200","PKNH_0929300"
