"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pb"
"PKNH_1313400","-0.00017 (3.8e-09)","-0.00048 (0.98)","2e-04 (0.14)","0.02 (1.3e-06)","0.25 (1.1e-29)","0.084 (2.3e-15)","0.18 (0.032)","-0.7 (5.3e-46)","0.0056 (0.75)","-0.0073 (0.0069)","-0.0012 (0.88)","-0.00013 (0.96)","3.5e-05 (0.46)","PF3D7_0819600","PBANKA_0711200"
"PKNH_0501200","0.00028 (0.11)","-0.00064 (0.98)","0.051 (0.002)","-0.037 (0.24)","0.18 (0.0013)","-0.14 (4.9e-20)","-0.029 (0.18)","-0.0021 (0.098)","-8e-04 (0.4)","0.00012 (0.77)","0.00059 (0.92)","0.00066 (0.51)","0.0023 (0.3)","PF3D7_0818700","PBANKA_0712100"
"PKNH_0501300","-1.2 (3.1e-12)","0.042 (0.48)","-0.044 (0.044)","-0.048 (3.5e-09)","0.0052 (0.7)","-0.009 (0.033)","0.0018 (0.79)","0.0033 (0.57)","0.051 (0.0064)","0.85 (8.8e-24)","1.4 (0.98)","-1.1 (0.86)","0.65 (0.02)","PF3D7_0818600","PBANKA_0712200"
"PKNH_0501400","-0.075 (0.013)","0 (1)","0.0046 (0.33)","-0.0081 (0.032)","-0.0027 (0.31)","-0.0012 (0.14)","0.00029 (1)","-2.7e-05 (0.99)","1.1 (6.9e-42)","-0.74 (1.9e-10)","-2.1 (0.92)","0.4 (0.92)","-0.66 (0.00086)","PF3D7_0818500","PBANKA_0712300"
"PKNH_0501500","0.081 (1.4e-13)","0.18 (0.078)","-0.14 (0.0092)","-0.047 (4.4e-09)","4.5e-05 (1)","0.0027 (0.068)","0.0027 (0.7)","-0.0014 (0.34)","-0.0014 (0.42)","-0.0019 (0.23)","6.9e-05 (0.98)","-0.003 (0.65)","-2.2e-05 (0.15)","PF3D7_0818400","PBANKA_0712400"
"PKNH_0501800","-0.00015 (0.8)","0.00029 (0.17)","0.17 (1.1e-10)","-0.29 (5.5e-20)","0.031 (0.00063)","-0.0063 (0.19)","0.0093 (0.72)","-0.033 (1.5e-21)","0.00026 (3.8e-17)","0.00022 (0.064)","0.00032 (0.98)","0.00027 (0.84)","-0.00017 (0.41)","PF3D7_0818200","PBANKA_0712600"
"PKNH_0502300","-0.0049 (0.15)","-0.0044 (0.3)","-0.0013 (0.075)","0.0034 (7.4e-11)","0.027 (1.7e-16)","0.15 (1.8e-49)","0.77 (3.3e-11)","-1.1 (1.9e-99)","-0.14 (2.6e-05)","-0.018 (0.0069)","0.025 (0.98)","-0.0083 (0.88)","-2.1e-05 (1)","PF3D7_0817700","PBANKA_0713100"
"PKNH_0503600","7.8e-06 (0.0011)","-0.0011 (0.00036)","0.0038 (0.84)","0.6 (4e-39)","-0.28 (5.7e-10)","-0.031 (0.02)","0.19 (0.056)","-0.29 (2.1e-41)","-0.0072 (0.14)","-0.00018 (0.025)","-2.3e-05 (1)","-0.0016 (0.76)","0.00062 (0.021)","PF3D7_0816800","PBANKA_0714000"
"PKNH_0503700","-0.0021 (0.05)","-5.7e-05 (1)","0.13 (4.4e-07)","-0.29 (2.7e-11)","-0.031 (0.19)","0.0086 (0.035)","-0.021 (0.085)","-0.005 (5.5e-05)","-0.00022 (0.59)","0.0058 (0.0011)","-0.028 (0.98)","0.031 (0.36)","-0.011 (0.045)","PF3D7_0816700","PBANKA_0714100"
"PKNH_0504000","-4.2e-05 (0.0037)","-0.00047 (0.98)","0.19 (6.5e-08)","-0.28 (1e-08)","0.07 (0.13)","-0.031 (0.015)","-0.1 (0.021)","-0.0066 (0.0011)","-0.0016 (0.0093)","0.00012 (1.1e-08)","-0.00024 (0.98)","-5.4e-05 (0.98)","-9.4e-05 (0.042)","PF3D7_0816400","PBANKA_0714400"
"PKNH_0504100","-0.015 (0.14)","0.00066 (0.18)","-0.00037 (0.35)","0.0017 (0.76)","0.041 (0.029)","0.051 (5e-04)","0.15 (0.013)","-0.32 (4.2e-32)","0.6 (1.6e-17)","0.057 (0.62)","-0.66 (0.99)","0.43 (0.9)","-0.41 (0.00054)","PF3D7_0816300","PBANKA_0714500"
"PKNH_0504800","0.003 (0.37)","0.63 (2e-05)","-0.83 (2.6e-27)","-0.049 (9.9e-08)","-1.3e-05 (1)","-0.00013 (0.2)","0.00028 (0.18)","0.0059 (2.1e-12)","0.016 (7e-05)","-0.0043 (0.098)","-0.023 (0.98)","0.034 (0.75)","0.015 (0.056)","PF3D7_0815600","PBANKA_0715200"
"PKNH_0504900","0.00064 (4.3e-11)","-0.00052 (0.0023)","0.006 (0.017)","0.05 (1.1e-08)","0.13 (0.00024)","0.0086 (0.73)","-0.17 (0.11)","-0.037 (7.8e-05)","9.6e-05 (0.29)","0.00037 (0.00012)","-0.0013 (0.98)","0.0012 (0.65)","-0.00062 (0.0011)","PF3D7_0815500","PBANKA_0715300"
"PKNH_0505500","-4e-04 (0.0043)","0.00013 (0.00055)","0.14 (1.2e-06)","-0.094 (7.2e-06)","0.012 (0.11)","-0.0019 (0.67)","0.11 (1.1e-05)","-0.13 (5.8e-09)","-0.073 (0.071)","0.00084 (0.39)","-0.0046 (1)","-0.012 (0.63)","-0.0035 (0.017)","PF3D7_0413900","PBANKA_0715900"
"PKNH_0505600","-0.008 (5.1e-06)","-0.0016 (0.14)","0.057 (5.8e-07)","0.21 (4.2e-09)","-0.15 (0.0011)","-0.067 (0.00011)","-0.016 (0.77)","0.31 (2.9e-103)","-0.46 (4.2e-70)","-0.019 (2.2e-10)","0.025 (0.94)","0.0013 (1)","0.004 (0.094)","PF3D7_0414000","PBANKA_0716000"
"PKNH_0506500","0 (1)","1.7e-05 (2.2e-08)","2.1e-06 (0.0077)","-8.5e-06 (1.6e-06)","-1.8e-06 (0.41)","-7.6e-07 (0.2)","-8.3e-07 (0.73)","0.02 (1.4e-11)","1.8 (1.3e-61)","-0.99 (4.6e-22)","0 (1)","0 (1)","0 (1)","PF3D7_0414900","PBANKA_0716900"
"PKNH_0507500","2.2e-05 (0.96)","0.38 (0.00017)","-0.45 (9.4e-11)","-0.095 (7.1e-09)","-6.1e-06 (1)","-7.2e-05 (0.14)","0 (1)","-3.8e-05 (0.82)","-0.00031 (0.059)","1e-05 (0.062)","-4.3e-18 (0.98)","0.00014 (0.018)","4.4e-19 (0.51)","PF3D7_0415900","PBANKA_0717800"
"PKNH_0508800","-0.00056 (0.11)","2e-05 (0.98)","0.081 (0.00015)","0.099 (0.11)","-0.17 (0.0014)","-0.084 (5.4e-07)","0.23 (0.013)","0.072 (0.014)","-0.66 (4.3e-33)","-0.00079 (0.038)","-0.0016 (0.92)","0.0016 (0.018)","-0.00032 (0.044)","PF3D7_0416400","PBANKA_0718400"
"PKNH_0509200","-3.7e-18 (0.026)","-8.7e-05 (1)","0.093 (0.00052)","0.099 (0.037)","0.028 (0.7)","-0.076 (0.00051)","-0.027 (0.73)","-0.3 (4e-22)","0.0014 (0.36)","3.8e-05 (0.33)","-0.00038 (0.88)","0.002 (0.018)","-1.1e-17 (0.13)","PF3D7_0416800","PBANKA_0718800"
"PKNH_0509900","-0.067 (2.9e-05)","-0.0046 (0.52)","0.042 (0.01)","0.12 (0.0074)","0.13 (0.011)","0.036 (0.079)","-0.09 (0.44)","-0.01 (0.46)","-0.016 (0.62)","-0.033 (0.34)","-0.0052 (1)","0.12 (0.9)","0.014 (0.76)","PF3D7_0417500.1","PBANKA_0719600"
"PKNH_0511500","0.00064 (4.7e-17)","0.00023 (0.0093)","6e-05 (0.00045)","0.0057 (0.087)","-0.0027 (0.11)","0.0038 (0.11)","0.016 (0.032)","0.49 (1.1e-41)","0.29 (0.0053)","-0.68 (4.5e-11)","0 (1)","0.031 (1)","0 (1)","PF3D7_0418800","PBANKA_0720900"
"PKNH_0511700","-0.00075 (4.7e-06)","-8e-05 (0.39)","0.023 (0.0043)","0.0056 (0.84)","-0.081 (1.8e-07)","0.021 (4.8e-06)","-0.06 (0.01)","-0.00072 (0.36)","-2.3e-05 (0.72)","0.00015 (0.054)","-0.00023 (1)","0.00019 (0.98)","0.00062 (0.028)","PF3D7_0419000","PBANKA_0721100"
"PKNH_0511800","-0.00056 (1.1e-08)","-2.8e-05 (0.7)","0.033 (0.00089)","-0.046 (0.018)","-0.021 (2e-05)","0.00079 (0.15)","-0.0023 (0.46)","0.0028 (0.004)","0.017 (0.45)","-5.2e-07 (1)","5.4e-05 (1)","0.00044 (0.86)","0.00071 (0.00078)","PF3D7_0419100","PBANKA_0721200"
"PKNH_0512300","-1e-04 (0.17)","0.092 (0.21)","0.39 (4.2e-12)","-0.26 (1.9e-13)","-0.077 (0.0016)","-0.013 (0.051)","-0.02 (0.64)","-0.038 (6e-04)","-0.016 (1.8e-07)","0.0014 (3.7e-05)","-0.03 (0.88)","-0.29 (0.018)","-0.00085 (0.023)","PF3D7_0419600","PBANKA_0721700"
"PKNH_0512600","4e-06 (0.21)","0.036 (0.39)","0.034 (0.1)","0.29 (2e-27)","0.074 (0.14)","-0.17 (6.7e-36)","0.079 (0.16)","-0.033 (0.54)","-0.1 (1.2e-06)","0.0021 (3.5e-12)","0.0032 (0.98)","0.0059 (0.019)","0.00019 (0.32)","PF3D7_0419900","PBANKA_0722000"
"PKNH_0101800","3e-05 (1.7e-09)","7.6e-05 (0.001)","-1e-04 (1.1e-06)","0.00096 (0.78)","0.096 (8.6e-13)","0.28 (1.6e-53)","-0.079 (0.62)","-0.57 (8.1e-64)","4.7e-05 (2.7e-15)","2e-05 (0.0097)","-0.00012 (0.88)","7.4e-05 (0.69)","9.9e-06 (0.17)","PF3D7_0703600","PBANKA_0801300"
"PKNH_0103100","0.00013 (1.6e-05)","0.0028 (0.35)","0.28 (3.7e-15)","-0.26 (2.3e-10)","0.054 (0.11)","0.041 (0.0041)","-0.092 (0.36)","-0.01 (0.72)","-0.21 (3.6e-26)","-0.0025 (3.5e-08)","0.00057 (0.98)","0.0021 (0.018)","8e-06 (0.18)","PF3D7_0704600","PBANKA_0802300"
"PKNH_0104400","-0.00014 (0.19)","3.1e-06 (0.98)","0.17 (4.4e-10)","-0.31 (1e-17)","-0.0034 (0.73)","0.0053 (0.024)","-0.012 (0.09)","-0.0035 (4e-14)","-0.0034 (0.013)","0.00021 (0.29)","-0.0064 (0.98)","-0.015 (0.018)","-0.00012 (0.017)","PF3D7_0705900","PBANKA_0803500"
"PKNH_0104700","-0.00033 (7.9e-17)","-9.1e-05 (0.015)","0.018 (0.2)","0.38 (1.6e-18)","-0.4 (2.4e-10)","-0.045 (1.3e-07)","0.044 (0.0052)","-0.097 (5.3e-46)","-0.00063 (0.5)","0.00022 (0.74)","3.7e-05 (1)","0.00021 (0.84)","0.00019 (0.015)","PF3D7_0706200","PBANKA_0803800"
"PKNH_0105800","-0.0041 (0.12)","-0.0014 (0.98)","-0.00062 (0.55)","0.0012 (0.019)","0.0044 (0.023)","0.077 (1.9e-26)","0.64 (3.3e-11)","-0.71 (7.2e-53)","-0.4 (2e-18)","-0.0058 (0.017)","0.00027 (1)","-0.0068 (0.053)","0.001 (0.027)","PF3D7_0707300","PBANKA_0804500"
"PKNH_0821700","-0.00014 (0.00035)","5.1e-06 (0.98)","0.063 (0.038)","0.033 (0.13)","0.059 (0.0057)","-0.04 (7.5e-07)","-0.046 (0.18)","-0.071 (7.4e-25)","-0.014 (0.00011)","0.0017 (0.12)","0.00023 (0.98)","0.0014 (0.024)","0.00024 (0.014)","PF3D7_0319500","PBANKA_0805800"
"PKNH_0823000","6.5e-06 (0.42)","0.00046 (0.0026)","0.0082 (0.88)","0.057 (5.4e-05)","-0.048 (0.0013)","0.034 (4.7e-07)","0.19 (0.0074)","-0.31 (3.5e-31)","0.045 (0.44)","-0.02 (0.092)","-3e-05 (0.92)","-0.00026 (0.018)","2.1e-06 (0.45)","PF3D7_0318400","PBANKA_0806800"
"PKNH_0824100","-0.00031 (2.1e-14)","2e-04 (1)","0.21 (1.3e-09)","-0.38 (8.8e-30)","0.023 (3.6e-06)","0.046 (3.1e-14)","0.038 (0.35)","-0.2 (4.5e-77)","0.00053 (0.77)","2.9e-05 (0.021)","7.7e-05 (0.98)","0.00013 (0.37)","3.1e-05 (0.5)","PF3D7_0317700","PBANKA_0807500"
"PKNH_0824200","0.11 (4e-19)","0.59 (1.3e-06)","-0.58 (1.2e-14)","-0.096 (1.9e-11)","-3.8e-05 (1)","-0.00073 (0.14)","0 (1)","0.0059 (6e-10)","4.6e-05 (0.99)","-0.00066 (0.72)","-0.035 (0.92)","0.00074 (1)","0.003 (0.73)","PF3D7_0317600","PBANKA_0807600"
"PKNH_0824800","-7.5e-05 (0.22)","5.3e-05 (0.85)","0.16 (9e-09)","-0.27 (5e-13)","-0.019 (0.096)","0.14 (1e-37)","-0.11 (0.074)","-0.22 (2.3e-61)","0.006 (6.4e-14)","-0.0084 (2.4e-10)","0.024 (0.88)","0.0078 (0.32)","0.00063 (0.00019)","PF3D7_0317000","PBANKA_0808200"
"PKNH_0824900","0 (1)","7.1e-05 (1.7e-08)","0.0024 (0.0025)","-0.0011 (0.12)","-0.00018 (1)","-0.0011 (0.054)","-0.0023 (0.14)","0.00021 (0.97)","0.62 (1.6e-37)","0.083 (0.55)","-1.6 (0.98)","1.3 (0.82)","-0.89 (0.00032)","PF3D7_0316900","PBANKA_0808300"
"PKNH_0704800","3.7e-05 (0.00039)","0.12 (0.38)","0.27 (2.4e-07)","0.15 (1.3e-06)","-0.27 (1.7e-20)","-0.074 (1.7e-30)","-0.018 (0.15)","0.0011 (0.3)","-0.003 (3.7e-08)","2e-05 (0.01)","0.00056 (0.98)","-0.21 (0.018)","-6.1e-05 (0.038)","PF3D7_0907000","PBANKA_0808500"
"PKNH_0705700","-0.093 (2e-04)","-0.028 (0.44)","0.089 (5.1e-06)","0.087 (0.0055)","-0.19 (2.2e-09)","-0.031 (7.2e-12)","0 (1)","-0.0081 (0.024)","-0.0011 (0.81)","0.11 (1.6e-09)","-0.16 (0.98)","-0.34 (0.5)","-0.045 (0.47)","PF3D7_0907900","PBANKA_0809300"
"PKNH_0705800","2e-04 (3.9e-07)","0.00044 (5.5e-07)","7.5e-05 (0.78)","0.004 (0.0012)","-0.0075 (0.00036)","-0.00017 (0.18)","6.7e-05 (0.54)","0.046 (1.7e-16)","1.4 (9.3e-60)","-1.3 (8.6e-21)","0 (1)","0 (1)","0 (1)","PF3D7_0908000","PBANKA_0809400"
"PKNH_0706200","0.00011 (0.013)","3.3e-05 (0.98)","0.026 (0.067)","0.43 (1.6e-24)","-0.1 (0.12)","-0.17 (5.6e-14)","-0.027 (0.63)","-0.002 (0.06)","7.7e-06 (0.77)","3e-04 (1.6e-06)","-0.0039 (0.79)","0.0018 (0.41)","0.0011 (1.8e-05)","PF3D7_0908200","PBANKA_0809600"
"PKNH_0708600","-0.87 (2.8e-11)","-0.017 (0.82)","0.018 (0.00024)","0.21 (1e-17)","-0.16 (4.3e-13)","0.0065 (0.21)","-0.0053 (0.88)","-0.074 (2.7e-10)","0.083 (0.00061)","0.42 (1e-05)","1.8 (0.98)","-1.5 (0.76)","1 (0.0041)","PF3D7_0910600","PBANKA_0811700"
"PKNH_0709000","-0.23 (1.2e-09)","0.00012 (0.076)","0.00045 (0.12)","0.16 (5e-16)","0.013 (0.79)","-0.049 (1.2e-09)","-0.074 (0.0079)","-0.01 (5.4e-05)","0.95 (3.1e-36)","-0.56 (4.5e-06)","1.7 (0.98)","0.13 (1)","-0.15 (0.45)","PF3D7_0911000","PBANKA_0812100"
"PKNH_0709100","0 (1)","0.0012 (1.5e-06)","-2e-04 (0.00082)","-0.00064 (2.1e-14)","-4e-04 (0.076)","-3e-05 (0.14)","0 (1)","0.012 (1.9e-17)","1.6 (8.5e-73)","-1.1 (7.6e-27)","0.074 (0.92)","-0.0041 (1)","-0.0083 (0.42)","PF3D7_0911100","PBANKA_0812200"
"PKNH_0709400","-0.012 (0.00041)","0.055 (0.26)","0.26 (7.5e-11)","-0.17 (1.9e-14)","0.039 (0.00043)","0.0038 (0.34)","0.048 (0.0063)","-0.063 (2.2e-55)","0.0028 (0.18)","0.017 (3e-04)","-0.017 (1)","-0.11 (0.68)","-0.015 (0.34)","PF3D7_0911400","PBANKA_0812500"
"PKNH_0710400","-0.06 (0.011)","0.27 (0.0039)","-0.22 (0.0012)","-0.095 (9e-09)","-0.0028 (0.4)","-0.00059 (0.28)","0 (1)","-9e-04 (0.07)","-0.00042 (0.91)","0.0017 (0.48)","0.069 (0.98)","-0.0083 (0.99)","0.012 (0.27)","PF3D7_0912500","PBANKA_0813500"
"PKNH_0710900","1.6 (1.2e-19)","-1 (1.9e-06)","-0.054 (0.087)","-0.078 (1.5e-08)","-0.00014 (1)","-0.0037 (0.14)","0 (1)","0.0037 (0.41)","-0.0078 (0.78)","3.2e-06 (0.0034)","0 (1)","-3.8e-06 (0.98)","0.074 (0.28)","PF3D7_0913000","PBANKA_0814000"
"PKNH_0712100","0.005 (4e-04)","0.02 (0.57)","0.27 (9.5e-10)","-0.037 (0.11)","0.23 (1.2e-14)","0.15 (2.2e-23)","-0.36 (2.2e-05)","-0.12 (7.7e-29)","0.0063 (0.0025)","-0.0072 (0.00051)","0.01 (0.98)","-0.018 (0.018)","-0.00011 (0.0075)","PF3D7_0914200","PBANKA_0815200"
"PKNH_0713100","-2.7e-06 (0.54)","-0.00012 (0.0025)","0.4 (9.5e-16)","-0.35 (5.6e-29)","-0.0017 (0.92)","-0.00059 (0.84)","-0.013 (0.15)","0.002 (0.01)","-0.0044 (0.019)","0.00098 (0.55)","0.013 (0.98)","-0.0031 (0.98)","-9e-04 (0.44)","PF3D7_0915100","PBANKA_0816100"
"PKNH_0713700","-0.0054 (0.0094)","0.00019 (0.66)","0.0049 (0.031)","-0.00045 (0.9)","-6.5e-06 (1)","0.002 (0.089)","0.08 (0.029)","0.13 (0.00068)","-0.27 (2.4e-10)","0.017 (1.5e-05)","-0.028 (1)","0.091 (0.49)","-0.0088 (0.41)","PF3D7_0915700","PBANKA_0816700"
"PKNH_0714300","-9.2e-06 (0.53)","-4.9e-05 (0.23)","0.00031 (1.1e-05)","-0.00033 (0.054)","-0.00081 (4.4e-27)","0.00021 (3.9e-30)","-0.00013 (0.37)","0.051 (0.17)","0.24 (0.0017)","-0.0021 (0.27)","-0.00014 (0.98)","-5.4e-05 (0.84)","2.2e-05 (0.031)","PF3D7_0916300","PBANKA_0817300"
"PKNH_0714500","-0.16 (2e-13)","-0.0094 (0.46)","0.039 (0.00032)","0.23 (6.1e-07)","-0.21 (0.0018)","-0.013 (0.41)","0.044 (0.57)","-0.074 (3.2e-24)","0.00051 (0.86)","0.08 (1.4e-08)","0.013 (1)","0.08 (0.96)","0.08 (0.18)","PF3D7_0916500","PBANKA_0817500"
"PKNH_0716100","-0.00022 (3.4e-06)","0.00011 (0.47)","-0.0098 (0.54)","0.21 (1.6e-34)","-0.017 (0.71)","-0.098 (5.2e-42)","0.0051 (0.18)","-0.0024 (0.054)","-0.00035 (5.3e-30)","0.00031 (3.9e-15)","0.00052 (0.98)","0.00034 (0.87)","6.3e-05 (0.43)","PF3D7_0918100","PBANKA_0819100"
"PKNH_0716200","-0.13 (0.0036)","0.24 (0.0027)","0.16 (0.00063)","-0.47 (2.1e-32)","-0.072 (1.1e-12)","-0.0038 (0.00061)","0.0014 (0.77)","-0.00027 (0.82)","0.0063 (0.059)","0.079 (2.9e-12)","0.0071 (1)","0.015 (1)","0.1 (0.2)","PF3D7_0918200.1","PBANKA_0819200"
"PKNH_0717800","-0.0075 (0.00066)","-0.00045 (0.98)","0.0033 (0.31)","-0.0034 (0.69)","0.094 (7.3e-06)","0.28 (1.7e-30)","-0.6 (1.5e-05)","-0.22 (2.3e-23)","0.21 (2.1e-07)","-0.19 (1.4e-09)","0.047 (0.98)","-0.1 (0.37)","0.0039 (0.67)","PF3D7_0919800","PBANKA_0820700"
"PKNH_0718300","0.00044 (0.24)","-0.0026 (2.7e-06)","0.00073 (0.00043)","0.015 (0.29)","0.048 (0.059)","-0.00086 (0.93)","0.028 (0.48)","-0.025 (0.00096)","0.16 (1.9e-06)","-0.042 (0.0043)","0.0014 (1)","-0.0024 (0.89)","0.0038 (0.00014)","PF3D7_0920300","PBANKA_0821200"
"PKNH_0718900","6e-05 (0.69)","0.11 (0.024)","0.45 (3.2e-11)","-0.29 (5.9e-27)","-0.0037 (0.061)","-2e-04 (0.026)","0.0017 (0.33)","-0.0028 (0.00015)","-0.00089 (0.00061)","0.0012 (0.012)","-8.8e-06 (1)","-0.0016 (0.97)","-0.00082 (0.37)","PF3D7_0920900","PBANKA_0821800"
"PKNH_0719200","0.028 (0.00021)","0.016 (0.45)","-0.002 (0.96)","-0.076 (1.6e-10)","0.00016 (1)","0.12 (3.6e-46)","0.12 (0.054)","-0.16 (2e-05)","-0.64 (1.8e-11)","0.0068 (0.28)","0.027 (0.98)","-0.023 (0.91)","-0.0092 (0.12)","PF3D7_0921200","PBANKA_0822100"
"PKNH_0719700","-8e-05 (0.64)","0.00046 (0.65)","0.14 (2.7e-08)","-0.18 (5.4e-05)","0.0052 (0.99)","-0.08 (2.7e-27)","0.045 (0.01)","-0.049 (3.1e-13)","0.00065 (0.0047)","0.00071 (1.1e-14)","-0.0014 (0.98)","-0.00033 (0.96)","-0.00014 (0.83)","PF3D7_0921700","PBANKA_0822600"
"PKNH_0720700","-0.00098 (0.046)","0.015 (0.47)","0.32 (5.7e-13)","0.025 (0.57)","0.069 (0.21)","-0.17 (3.4e-21)","-0.029 (0.51)","0.18 (3.7e-17)","-0.11 (5.4e-12)","-0.0069 (0.098)","0 (1)","-0.025 (0.018)","0 (1)","PF3D7_0922700","PBANKA_0823600"
"PKNH_0720800","4e-05 (0.032)","-0.00036 (0.0022)","0.053 (0.001)","-0.045 (0.21)","0.11 (0.0062)","-0.046 (1.2e-05)","-0.053 (0.2)","-0.031 (7.7e-14)","-0.00085 (0.75)","4e-07 (0.85)","2.5e-05 (0.98)","-0.044 (0.018)","3.1e-06 (0.46)","PF3D7_0922800","PBANKA_0823700"
"PKNH_0721900","0 (1)","0.46 (0.00076)","-0.62 (4e-20)","-0.028 (2.6e-05)","0 (1)","0 (1)","0 (1)","4.4e-07 (0.41)","4.7e-05 (1.6e-06)","-4.9e-05 (5.7e-05)","0 (1)","0 (1)","-8.6e-06 (0.35)","PF3D7_0923900","PBANKA_0824800"
"PKNH_0722900","-3.7e-05 (0.6)","7.8e-05 (0.7)","-0.00012 (0.00017)","0.073 (5.1e-08)","0.022 (0.45)","-0.0094 (0.37)","-0.0035 (1)","-0.078 (8.1e-14)","0.32 (0.00039)","-0.0012 (2.1e-11)","-0.00027 (1)","8e-04 (0.5)","0.00015 (0.055)","PF3D7_0925000","PBANKA_0825800"
"PKNH_0723800","1.6 (1.5e-19)","-0.79 (0.0064)","-0.3 (2.7e-15)","-0.0051 (0.57)","-0.01 (0.33)","-0.0065 (0.12)","0.0038 (0.21)","0.0051 (0.42)","-0.0093 (0.74)","2.6e-05 (0.0065)","-2.6e-06 (1)","0.00013 (0.64)","0.11 (0.28)","PF3D7_0925900","PBANKA_0826700"
"PKNH_0723900","1e-08 (0.16)","9.3e-06 (0.99)","0.14 (2e-06)","-0.3 (4.9e-17)","0.0043 (0.27)","-9.9e-05 (0.91)","0.0025 (0.57)","0.00092 (0.64)","0.02 (0.35)","-0.008 (0.00014)","-0.00054 (0.98)","-0.0013 (0.079)","1.6e-06 (0.12)","PF3D7_0926000","PBANKA_0826800"
"PKNH_0724200","-0.082 (0.00039)","-0.0068 (0.31)","-0.0043 (0.5)","0.033 (0.037)","0.021 (0.28)","-0.035 (3.1e-11)","0.042 (0.051)","0.04 (0.00012)","-0.15 (0.11)","0.00048 (0.96)","-0.002 (0.98)","-0.21 (0.018)","0.083 (0.06)","PF3D7_0926300","PBANKA_0827100"
"PKNH_0725200","-8.8e-06 (0.2)","0.00011 (0.00082)","0.22 (3.9e-08)","0.19 (2.6e-11)","-0.11 (3.3e-05)","-0.041 (1.7e-08)","0.0087 (0.88)","-0.064 (5.5e-10)","-0.023 (1.8e-05)","5.4e-05 (5e-09)","-0.00028 (0.98)","8e-05 (0.91)","5.4e-05 (0.14)","PF3D7_0926900","PBANKA_0827700"
"PKNH_0726700","-0.13 (0.043)","-0.036 (0.2)","0.11 (1.2e-08)","-0.0049 (0.88)","-0.16 (6.4e-11)","0.0016 (0.61)","0.05 (0.054)","-0.064 (2.9e-26)","0.1 (1e-05)","0.099 (0.018)","-0.12 (1)","-0.27 (0.73)","-0.049 (0.27)","PF3D7_0928300","PBANKA_0829100"
"PKNH_0726900","8.6e-05 (0.93)","0.00034 (0.66)","0.03 (0.046)","-0.006 (0.29)","-0.013 (3.6e-07)","8e-04 (0.006)","-0.0016 (0.64)","0.11 (8.2e-54)","0.57 (1.4e-12)","-0.19 (2.1e-07)","0 (1)","0 (1)","0.013 (0.28)","PF3D7_0928500","PBANKA_0829300"
"PKNH_0727700","-2e-04 (0.016)","0.0011 (1.4e-09)","0.011 (0.5)","0.022 (0.099)","0.022 (0.35)","-0.03 (7.9e-09)","-0.0084 (0.38)","-0.0019 (0.24)","0.00022 (0.28)","7.7e-08 (0.99)","2.6e-05 (0.98)","1e-04 (0.018)","-0.00035 (0.09)","PF3D7_0929200","PBANKA_0830000"
"PKNH_0727900","-0.018 (9.7e-08)","0.00029 (1)","-3.6e-05 (0.93)","0.0067 (5.8e-05)","0.21 (9.3e-30)","0.21 (1.6e-42)","0.26 (0.018)","-1.3 (3.4e-124)","0.011 (0.38)","-0.003 (0.44)","-0.00055 (1)","-0.092 (0.091)","0.016 (0.0033)","PF3D7_0929400","PBANKA_0830200"
"PKNH_0729200","-0.25 (3.1e-09)","-0.02 (0.15)","0.12 (0.0025)","0.11 (0.002)","0.092 (0.031)","-0.12 (2.4e-18)","0.16 (0.025)","-0.22 (1.6e-25)","-0.14 (1.1e-06)","0.039 (0.00039)","-0.22 (0.99)","-0.18 (0.86)","0.26 (0.0024)","PF3D7_0930600.1","PBANKA_0831300"
"PKNH_0730100","-0.33 (2.2e-08)","-0.08 (0.024)","0.18 (2.2e-10)","-0.24 (8.3e-08)","-0.072 (0.024)","-0.003 (0.72)","-0.047 (0.16)","-0.0029 (0.46)","0.044 (1.8e-06)","0.7 (2.1e-25)","-0.78 (0.98)","0.45 (0.82)","-0.38 (0.0049)","PF3D7_0931400","PBANKA_0832200"
"PKNH_0730900","-0.43 (0.00014)","0.036 (0.15)","0.042 (8.9e-08)","-0.046 (0.00084)","-0.017 (0.0014)","-0.00053 (0.65)","0 (1)","0.0034 (0.36)","0.34 (4.3e-21)","0.67 (4.2e-08)","-0.043 (1)","-0.79 (0.93)","0.45 (0.26)","PF3D7_0932200","PBANKA_0833000"
"PKNH_0731100","2.1e-05 (0.0021)","0.00024 (0.0032)","0.047 (0.034)","0.11 (0.00062)","-0.074 (0.11)","-0.03 (0.0096)","0.027 (0.52)","0.1 (8.1e-05)","-0.031 (0.025)","-0.00064 (1.3e-08)","7.8e-05 (0.98)","0.00032 (0.9)","0.00015 (0.32)","PF3D7_0932400","PBANKA_0833200"
"PKNH_0731900","-0.065 (0.00038)","-0.012 (0.6)","0.098 (7.2e-09)","-0.21 (9.7e-08)","0.002 (1)","0.15 (2.8e-41)","-0.16 (0.014)","-0.19 (1.5e-47)","-0.0014 (0.79)","0.044 (2.9e-05)","0.31 (0.98)","-0.19 (0.79)","-0.075 (0.055)","PF3D7_0933200","PBANKA_0834000"
