"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pk","pb"
"PF3D7_1023600","-0.025 (0.65)","-0.099 (1)","-0.015 (0.81)","0.12 (4.3e-22)","-0.089 (2.4e-09)","0.022 (6e-11)","0.11 (0.00014)","-0.087 (5e-25)","-0.00021 (1.4e-12)","0.00022 (2.3e-09)","-0.00012 (1)","3.1e-05 (0.95)","7.4e-06 (1)","PKNH_0608100","PBANKA_0507800"
"PF3D7_1024600","7.5e-05 (0.65)","-0.0011 (1)","0.012 (0.93)","0.033 (0.011)","-0.1 (9.2e-16)","1.2e-05 (0.99)","0.03 (0.00021)","-0.02 (8.7e-16)","7.4e-06 (0.34)","5e-06 (0.086)","-8e-06 (1)","-1e-05 (0.95)","8.9e-09 (1)","PKNH_0609100","PBANKA_0508800"
"PF3D7_1025000","-0.0078 (0.65)","2.9e-05 (0.84)","0.032 (0.72)","-0.027 (1.5e-05)","-0.00074 (0.73)","-0.0015 (0.0016)","0.0061 (0.063)","0.4 (6.9e-59)","-0.73 (9.4e-12)","1.9e-05 (0.011)","0.00025 (1)","0.00033 (0.95)","-2.9e-05 (1)","PKNH_0609500","PBANKA_0509200"
"PF3D7_1025500","0.032 (0.65)","-0.037 (0.043)","0.017 (0.86)","0.14 (1.2e-21)","-0.048 (0.036)","0.011 (0.16)","-0.011 (0.77)","-0.056 (1.2e-10)","4e-06 (0.23)","0.012 (2.1e-07)","0.048 (1)","0.015 (0.95)","0.0038 (1)","PKNH_0610000","PBANKA_0509700"
"PF3D7_1026100","3.4e-05 (0.65)","0.0018 (1)","-0.0041 (0.95)","0.0056 (0.21)","-0.0066 (0.058)","-0.0026 (0.0012)","-0.0046 (0.12)","-0.0013 (0.042)","0.00015 (0.5)","-0.00056 (0.81)","0.011 (1)","0 (1)","0 (1)","PKNH_0610600","PBANKA_0510300"
"PF3D7_1027300","0 (1)","-0.0019 (1)","-0.053 (0.63)","-0.032 (1.3e-07)","0.0035 (0.18)","0.013 (7.5e-11)","-0.031 (0.0034)","-0.023 (0.0014)","0.049 (0.0044)","-0.011 (0.0084)","0 (1)","0 (1)","0 (1)","PKNH_0611700","PBANKA_0511400"
"PF3D7_1027600","-0.28 (0.98)","-0.88 (0.2)","0.0044 (0.93)","0.0014 (0.76)","0.02 (7.1e-06)","-0.0021 (0.39)","0.095 (0.00037)","-0.073 (8.8e-14)","0.00017 (8.6e-07)","1.2 (0.00037)","-2.2 (1)","4.6 (0.95)","0.59 (1)","PKNH_0612000","PBANKA_0511700"
"PF3D7_1030400","-2.4e-05 (0.65)","6.1e-05 (1)","-0.0075 (0.8)","0.014 (0.00013)","-0.008 (0.012)","-0.0015 (0.0024)","-0.00097 (0.42)","0.071 (1.3e-48)","-0.14 (6.1e-08)","1.4e-05 (0.4)","6.3e-20 (1)","7.2e-20 (0.95)","0 (1)","PKNH_0615100","PBANKA_0514400"
"PF3D7_1031700","-0.072 (0.65)","-0.001 (0.48)","0.0038 (0.87)","0.051 (8.2e-12)","-0.038 (0.00013)","-0.0044 (1.6e-09)","-0.00064 (0.71)","0.13 (6.4e-46)","-0.21 (3.1e-11)","0.00073 (1.3e-08)","0.00066 (1)","0.00067 (0.95)","-6.5e-06 (1)","PKNH_0616400","PBANKA_0515500"
"PF3D7_1032400","-0.038 (0.65)","-0.042 (1)","0.0013 (0.99)","0.12 (2.2e-30)","-0.056 (0.00078)","0.00022 (0.98)","-0.013 (0.69)","-0.054 (5.1e-17)","-0.0014 (0.0098)","0.00012 (9.4e-08)","-5.7e-05 (1)","1.5e-05 (0.95)","3.5e-06 (1)","PKNH_0617200","PBANKA_0516200"
"PF3D7_1033900","-0.012 (0.65)","-0.00013 (0.79)","-0.0021 (0.98)","-0.014 (0.011)","0.073 (3.4e-13)","-0.025 (0.00051)","0.022 (0.53)","-0.069 (3e-05)","-0.0043 (0.024)","2.5e-05 (0.31)","6.6e-06 (1)","7.5e-05 (0.95)","9.3e-07 (1)","PKNH_0619100","PBANKA_0517700"
"PF3D7_1034800","-0.01 (0.65)","-0.00032 (1)","-0.02 (0.75)","0.0014 (0.82)","-0.0045 (0.14)","0.00089 (0.35)","-0.0088 (0.076)","0.013 (6.2e-08)","-0.0025 (0.8)","-0.00035 (0.00036)","6.1e-06 (0.85)","2.2e-06 (1)","1.5e-06 (1)","PKNH_0620000","PBANKA_0518600"
"PF3D7_1037900","9.3e-06 (0.65)","0.023 (0.95)","-0.034 (0.57)","0.014 (0.005)","0.025 (1.1e-05)","-0.0085 (0.0024)","-0.031 (0.024)","0.05 (2.3e-08)","-0.0017 (0.36)","4.7e-06 (0.093)","3.7e-08 (1)","1.4e-06 (0.95)","1.9e-07 (1)","PKNH_0622400","PBANKA_0520800"
"PF3D7_0422400","-0.23 (0.65)","-0.0026 (1)","0.11 (0.61)","0.07 (0.00017)","-0.19 (9.3e-42)","-0.057 (2.8e-62)","-0.0014 (0.86)","-0.0024 (0.03)","0.00035 (0.51)","-0.0044 (8.9e-05)","6.9e-07 (0.85)","-2.9e-08 (1)","-3.5e-08 (1)","PKNH_0514300","PBANKA_0522800"
"PF3D7_0422800","-0.00021 (0.65)","-0.00037 (0.64)","-0.0033 (0.93)","0.016 (0.02)","0.04 (0.00015)","0.01 (0.55)","-0.13 (0.036)","-0.046 (0.0011)","5.1e-05 (0.28)","0.00055 (2.6e-07)","3.5e-05 (1)","0.00014 (0.95)","3e-05 (1)","PKNH_0514700","PBANKA_0523200"
"PF3D7_1202300","2e-05 (0.65)","-0.032 (1)","0.005 (0.93)","-0.011 (0.0077)","0.0051 (0.0012)","0.0071 (7e-07)","0.0015 (0.89)","-0.012 (2.5e-09)","2.4e-05 (0.015)","2.9e-06 (0.45)","4.4e-07 (0.85)","2.8e-07 (0.95)","4.3e-08 (1)",NA,"PBANKA_0601200"
"PF3D7_1205100","3.4e-05 (0.85)","0.041 (1)","0.053 (0.73)","-0.11 (5.6e-23)","-0.014 (0.00093)","0.00063 (0.0077)","0.0026 (4e-04)","-0.005 (0.028)","0.033 (9.3e-07)","-0.039 (0.023)","-7.1e-06 (1)","0.00018 (0.95)","-4.6e-06 (1)","PKNH_1304800","PBANKA_0603800"
"PF3D7_1205600","2.5e-05 (0.65)","0.012 (1)","0.075 (0.57)","-0.024 (0.14)","-0.075 (5.8e-12)","0.00079 (0.2)","5e-04 (0.68)","-0.0013 (0.053)","9e-04 (0.56)","-0.0011 (0.25)","-5.4e-06 (1)","-9.4e-06 (1)","1.1e-05 (0.26)","PKNH_1305300","PBANKA_0604300"
"PF3D7_1206900","0 (1)","9.8e-05 (1)","0.0012 (0.99)","0.048 (1.1e-14)","-0.014 (0.095)","0.0029 (0.23)","-0.024 (0.012)","0.0035 (0.47)","0.00011 (0.048)","-0.0092 (0.58)","0 (1)","0 (1)","0 (1)","PKNH_1306900","PBANKA_0605500"
"PF3D7_1207700","-0.031 (0.65)","-0.00016 (1)","0.032 (0.74)","-0.04 (6.7e-08)","-0.013 (6.1e-06)","-0.00054 (0.032)","0.0084 (0.00087)","-0.0051 (1.1e-07)","-0.00053 (1.5e-16)","1.7e-06 (0.68)","1.7e-05 (1)","2.6e-05 (0.95)","0.00014 (0.26)","PKNH_1307600","PBANKA_0606200"
"PF3D7_1209000","-2.8e-05 (0.65)","0.037 (1)","0.0079 (0.94)","-0.042 (0.00025)","-0.052 (1.5e-06)","-0.0011 (0.56)","-0.0098 (0.15)","-3e-04 (0.85)","0.00023 (0.53)","4.1e-06 (0.3)","2.4e-06 (1)","3.9e-06 (0.95)","6.1e-08 (1)","PKNH_1308900","PBANKA_0607500"
"PF3D7_1209700","4.8e-05 (0.65)","-0.0049 (1)","-0.039 (0.72)","0.0068 (0.28)","-0.025 (4.4e-06)","-2e-04 (0.82)","0.0078 (0.057)","-0.0046 (1.8e-07)","0.012 (0.031)","-0.029 (0.016)","0.0091 (1)","0.00021 (0.95)","2.9e-05 (1)","PKNH_1309600","PBANKA_0608100"
"PF3D7_1210900","-0.0052 (0.65)","0.0069 (1)","0.031 (0.73)","0.1 (6.3e-37)","-0.04 (0.00064)","-0.02 (3.2e-09)","-0.0031 (0.79)","-0.023 (6.1e-09)","3.9e-06 (0.45)","1.2e-05 (0.2)","-1.6e-08 (1)","0 (1)","2.7e-21 (1)",NA,"PBANKA_0609300"
"PF3D7_1437900","0 (1)","0.18 (1)","-0.06 (0.73)","-0.15 (2.5e-47)","-0.0041 (0.13)","0.0046 (1e-18)","0.018 (0.015)","-0.014 (1.4e-17)","0.00094 (0.1)","-0.00038 (0.55)","0.00013 (1)","0.00023 (0.95)","-3.4e-05 (1)","PKNH_0424600","PBANKA_0610900"
"PF3D7_1437300","3e-20 (0.65)","2.8e-05 (1)","0.0022 (0.86)","0.0067 (2.2e-15)","0.0052 (0.089)","-0.0052 (5.8e-05)","-0.0085 (0.054)","0.95 (7.8e-50)","-1.2 (3.3e-15)","0.00016 (4.8e-10)","1.3e-19 (1)","0 (1)","5.5e-21 (1)","PKNH_0424000","PBANKA_0611500"
"PF3D7_0717000","-0.041 (0.65)","-0.00013 (1)","0.0036 (0.93)","0.016 (0.071)","-0.028 (1.5e-05)","0.012 (0.00014)","0.023 (0.22)","-0.15 (2.6e-35)","-0.00048 (0.25)","6.6e-05 (8.5e-08)","3.3e-05 (1)","4.2e-07 (0.95)","2.2e-09 (1)","PKNH_0311800","PBANKA_0614700"
"PF3D7_0718000","-0.0028 (0.65)","0.0019 (1)","-0.004 (0.95)","-0.024 (0.00046)","-0.013 (0.0023)","0.0044 (2.4e-11)","-0.0034 (0.53)","-0.0056 (3.7e-13)","-1.9e-05 (0.0027)","1.2e-05 (0.24)","1.1e-06 (1)","2.8e-06 (0.95)","3.4e-08 (1)","PKNH_0313000","PBANKA_0615700"
"PF3D7_0720700","0 (1)","0.41 (0.43)","-0.046 (0.75)","-0.08 (4.4e-29)","0.015 (3e-06)","-0.012 (9.9e-26)","-0.005 (0.0097)","0.034 (1.7e-18)","-0.18 (4e-05)","0 (1)","0 (1)","0 (1)","0 (1)","PKNH_0316100","PBANKA_0618200"
"PF3D7_0720800","2.3e-05 (0.65)","-0.064 (1)","0.0089 (0.93)","-0.00093 (0.93)","-0.02 (0.072)","0.02 (4e-06)","-0.032 (0.079)","-0.064 (1.3e-20)","-0.025 (0.00063)","-3e-07 (1)","5.9e-05 (1)","0.00018 (0.95)","-2.9e-09 (1)","PKNH_0316200","PBANKA_0618300"
"PF3D7_0720900","1.4e-05 (0.86)","-0.017 (1)","0.0013 (0.99)","0.044 (0.00014)","-0.013 (0.34)","-0.024 (6.8e-10)","-0.015 (0.21)","-0.0048 (0.006)","0.0017 (0.39)","-9.2e-05 (5.6e-07)","0 (1)","0 (1)","3.4e-05 (0.26)","PKNH_0316300","PBANKA_0618400"
"PF3D7_0724500","5.3e-05 (0.7)","0.00016 (1)","-0.00035 (0.99)","-0.007 (0.032)","-6.5e-05 (0.24)","1.4e-05 (0.65)","7.6e-05 (0.31)","0.021 (5e-09)","0.55 (1.1e-11)","-0.21 (9.4e-05)","6e-04 (1)","4.6e-05 (1)","-2.5e-06 (1)","PKNH_0319900","PBANKA_0622000"
"PF3D7_0828500","-2.2e-05 (0.93)","0.046 (1)","0.023 (0.73)","0.12 (1.5e-17)","-0.049 (0.007)","0.0036 (0.52)","0.2 (9.3e-08)","-0.21 (5e-25)","-0.035 (0.013)","-0.014 (0.55)","-1e-04 (1)","1.3e-05 (1)","2e-05 (1)","PKNH_1322600","PBANKA_0702200"
"PF3D7_0825200","9.5e-05 (0.65)","0.00014 (1)","0.018 (0.73)","0.11 (1.4e-23)","-0.082 (5.2e-08)","0.015 (0.03)","-0.037 (0.18)","0.0028 (0.65)","-0.014 (0.54)","1.7e-06 (0.9)","5.2e-06 (1)","-9.6e-06 (0.95)","4.5e-06 (0.26)","PKNH_1319200","PBANKA_0705400"
"PF3D7_0824700","-0.072 (0.65)","8.5e-06 (1)","0.003 (0.86)","0.065 (6e-25)","0.042 (0.0038)","0.00087 (0.9)","0.12 (0.015)","-0.17 (1.3e-31)","0.0053 (0.023)","0.086 (7.7e-09)","-0.093 (1)","0.21 (0.95)","-0.0013 (1)","PKNH_1318700","PBANKA_0705900"
"PF3D7_0824200","0 (1)","0.0023 (1)","0.038 (0.79)","0.017 (0.26)","-0.11 (2e-14)","-0.0053 (0.014)","0.014 (0.024)","-0.012 (2.4e-09)","3.4e-06 (0.62)","-6e-05 (0.013)","-0.00012 (1)","-0.00019 (0.95)","0 (1)","PKNH_1318200","PBANKA_0706400"
"PF3D7_0821900","6.8e-05 (0.65)","-9e-05 (1)","0.007 (0.93)","0.026 (3.8e-06)","-0.017 (0.0052)","-0.0032 (1.9e-05)","0.0015 (0.26)","-0.00035 (0.85)","-0.0017 (0.34)","-4.8e-06 (0.75)","-1.2e-05 (1)","-1.5e-05 (0.95)","1.4e-08 (1)","PKNH_1315900","PBANKA_0708900"
"PF3D7_0821800","-4.9e-05 (0.85)","-0.0076 (1)","-0.0012 (0.99)","0.084 (1.7e-21)","-0.062 (9.1e-07)","0.0024 (0.27)","0.055 (0.0057)","-0.087 (6.1e-14)","-0.00025 (7.2e-06)","5.9e-05 (0.0013)","-0.00022 (1)","-1.9e-05 (1)","3.7e-06 (1)","PKNH_1315800","PBANKA_0709000"
"PF3D7_0821700","-0.059 (0.65)","0.14 (1)","-0.019 (0.9)","-0.076 (6.6e-11)","-0.023 (0.0023)","-0.011 (6.9e-12)","-0.0033 (0.51)","-0.0025 (2.9e-09)","0.0067 (3.8e-06)","-0.0071 (0.015)","0 (1)","0 (1)","0 (1)","PKNH_1315700","PBANKA_0709100"
"PF3D7_0819800","-0.44 (0.65)","-4e-05 (1)","-0.003 (0.97)","0.2 (3e-51)","-0.16 (1e-16)","-0.018 (6.6e-10)","0.015 (0.15)","0.41 (1.2e-30)","-0.2 (8.1e-06)","4e-05 (2.3e-09)","1.5e-05 (1)","2.9e-05 (0.95)","-1.9e-06 (1)","PKNH_1313600","PBANKA_0711000"
"PF3D7_0819000","-2.2e-05 (0.65)","-0.04 (1)","0.043 (0.81)","-0.17 (8.8e-47)","-0.012 (0.067)","0.0011 (0.016)","0.036 (0.017)","-0.038 (6.4e-36)","1.2e-06 (0.45)","3.1e-06 (0.31)","-1.2e-17 (1)","-1.8e-18 (1)","0 (1)","PKNH_1312800","PBANKA_0711800"
"PF3D7_0818500","0 (1)","0.12 (1)","0.011 (0.9)","-0.023 (5.8e-06)","-0.0016 (0.082)","0.0016 (0.12)","0.043 (0.00011)","0.51 (1.9e-58)","0.072 (0.45)","-0.024 (0.41)","0 (1)","0 (1)","0 (1)","PKNH_0501400","PBANKA_0712300"
"PF3D7_0818400","0.071 (0.65)","0.5 (0.95)","-0.011 (0.93)","-0.092 (1.1e-22)","-0.0061 (0.022)","-0.0012 (0.18)","-0.00036 (0.92)","-0.0017 (0.0012)","1.8e-05 (0.18)","-0.0014 (0.6)","4.6e-06 (1)","-0.00011 (0.95)","-1.4e-06 (1)","PKNH_0501500","PBANKA_0712400"
"PF3D7_0817700","-1.7e-05 (0.65)","-0.0075 (0.096)","0.00031 (0.95)","0.00091 (0.43)","-0.0014 (0.052)","0.017 (2.4e-19)","0.22 (1.5e-12)","0.074 (0.25)","-0.063 (0.17)","3.6e-05 (1.5e-10)","8.3e-08 (1)","2.5e-06 (0.95)","-1.6e-07 (1)","PKNH_0502300","PBANKA_0713100"
"PF3D7_0817500","-3.6e-05 (0.65)","0.28 (0.2)","-0.045 (0.75)","-0.15 (3.1e-41)","-0.001 (0.43)","0.00024 (0.17)","0.094 (1.2e-09)","-0.31 (9e-16)","2.3e-05 (0.17)","-0.006 (0.58)","6.3e-20 (1)","3.6e-20 (0.95)","8.2e-21 (1)","PKNH_0502900","PBANKA_0713300"
"PF3D7_0815600","-0.16 (0.65)","0.41 (0.7)","-0.014 (0.93)","0.067 (1.6e-06)","-0.11 (1.5e-16)","-0.044 (7.8e-40)","0.013 (0.0014)","-0.019 (4.8e-20)","-0.00075 (0.45)","2.3e-06 (0.55)","2.6e-06 (1)","-2.6e-06 (1)","-5.5e-07 (1)","PKNH_0504800","PBANKA_0715200"
"PF3D7_0815500","-0.059 (0.65)","-0.00018 (0.058)","-0.0023 (0.92)","0.13 (4.1e-66)","0.13 (1e-06)","-0.038 (0.01)","0.28 (0.0072)","-0.38 (2.2e-32)","0.0019 (0.88)","2e-05 (0.17)","-0.00021 (1)","3.5e-05 (1)","2.9e-05 (1)","PKNH_0504900","PBANKA_0715300"
"PF3D7_0413600","1.7e-05 (0.65)","-0.016 (1)","0.04 (0.82)","-0.074 (2e-07)","-0.036 (8.5e-05)","0.03 (7.5e-16)","0.023 (0.49)","-0.11 (9.5e-18)","0 (1)","4.4e-05 (8.5e-08)","2.2e-05 (1)","1.8e-07 (0.95)","2.8e-08 (1)","PKNH_0505200","PBANKA_0715600"
"PF3D7_0414000","1.6e-06 (1)","0.0021 (1)","0.025 (0.83)","0.029 (0.099)","-0.079 (1.1e-06)","0.034 (4.5e-05)","-0.11 (5e-04)","-0.018 (1.8e-12)","0.0062 (4.1e-05)","-0.00019 (0.83)","-7.3e-06 (1)","3.6e-07 (0.95)","-2e-08 (1)","PKNH_0505600","PBANKA_0716000"
"PF3D7_0415900","-0.24 (0.65)","0.13 (1)","0.054 (0.76)","0.15 (2e-13)","-0.19 (2.5e-29)","-0.062 (2.2e-49)","0.0032 (0.64)","-0.0099 (7.6e-11)","-0.00083 (0.47)","-2.5e-06 (0.86)","0.00013 (0.85)","8.4e-05 (0.95)","2e-05 (1)","PKNH_0507500","PBANKA_0717800"
"PF3D7_0416800","-0.00049 (0.65)","0.084 (1)","-0.027 (0.81)","-0.053 (2.4e-10)","-0.0071 (0.33)","0.0066 (0.002)","-0.015 (0.18)","-0.0077 (5.7e-08)","7.1e-05 (4.9e-07)","4.4e-06 (0.31)","2.8e-07 (1)","-7.6e-08 (1)","4.8e-08 (1)","PKNH_0509200","PBANKA_0718800"
"PF3D7_0418400","9.6e-05 (0.65)","0.22 (1)","-0.027 (0.83)","-0.072 (1e-18)","-0.011 (0.012)","0.00043 (0.49)","-6e-04 (0.82)","-0.005 (0.018)","-0.00013 (0.46)","-2e-05 (0.53)","-0.00035 (0.85)","-0.00026 (0.95)","-3.4e-05 (1)","PKNH_0510800","PBANKA_0720500"
"PF3D7_0419000","2e-05 (0.65)","0.00024 (0.84)","0.0086 (0.81)","-0.0091 (0.01)","0.018 (6.6e-11)","0.0037 (0.16)","-0.027 (0.082)","-0.0039 (2.1e-07)","1.2e-05 (0.0027)","-4.8e-05 (3.1e-05)","1.1e-07 (1)","7.7e-08 (1)","2.2e-10 (1)","PKNH_0511700","PBANKA_0721100"
"PF3D7_0703600","-0.0037 (0.65)","0.19 (0.85)","-0.014 (0.85)","0.059 (1.4e-25)","-0.026 (0.035)","0.016 (1e-04)","-0.029 (0.32)","0.39 (3.9e-22)","-0.55 (1e-10)","-0.0017 (0.31)","2.6e-05 (1)","3.8e-05 (0.95)","-9.9e-07 (1)","PKNH_0101800","PBANKA_0801300"
"PF3D7_0705800","0.093 (0.65)","-0.13 (0.38)","0.0087 (0.87)","0.044 (2.4e-10)","-0.048 (6.8e-10)","5.4e-05 (0.96)","-0.0012 (0.53)","-0.0018 (0.00047)","-9.9e-05 (2.2e-06)","-4.8e-07 (0.98)","1.1e-05 (0.85)","0.00025 (0.95)","8.7e-05 (1)","PKNH_0104300","PBANKA_0803400"
"PF3D7_0707300","-0.00061 (1)","-0.025 (0.02)","0.00036 (0.83)","0.00015 (0.31)","0.0026 (1.1e-12)","-7e-04 (0.46)","0.021 (0.014)","0.44 (6.5e-13)","-0.029 (0.64)","-0.002 (0.64)","-0.007 (1)","-0.0097 (0.95)","0.0013 (1)","PKNH_0105800","PBANKA_0804500"
"PF3D7_0317600","-0.066 (0.65)","0.059 (1)","0.007 (0.93)","0.03 (5.6e-05)","-0.036 (1e-08)","-0.029 (5.2e-54)","-0.0015 (0.59)","-0.003 (3.1e-05)","-0.00015 (0.45)","-2.9e-05 (0.0027)","0.00011 (1)","0.00016 (0.95)","1.3e-05 (1)","PKNH_0824200","PBANKA_0807600"
"PF3D7_0316900","0 (1)","2.4e-06 (1)","-0.0026 (0.93)","0.01 (0.01)","0.36 (1.7e-63)","-0.13 (2.1e-22)","-0.21 (1e-05)","-0.0039 (0.03)","0 (1)","0 (1)","0 (1)","0 (1)","0 (1)","PKNH_0824900","PBANKA_0808300"
"PF3D7_0907900","4e-05 (0.65)","0.039 (1)","0.078 (0.64)","0.019 (0.26)","-0.16 (1.6e-18)","0.0019 (0.34)","0.072 (1.9e-06)","-0.054 (1.4e-11)","4e-05 (0.055)","1.3e-05 (0.23)","2.9e-06 (0.85)","1.8e-06 (0.95)","2.8e-07 (1)","PKNH_0705700","PBANKA_0809300"
"PF3D7_0908700","2.6e-05 (0.65)","0.00013 (1)","0.00037 (1)","-0.0045 (0.16)","-0.0039 (0.21)","-0.00027 (0.0056)","6.5e-05 (0.38)","0.021 (3.6e-14)","-0.011 (0.00022)","-1.3e-05 (0.29)","1.6e-06 (1)","5.7e-05 (0.95)","1.5e-06 (1)","PKNH_0706700","PBANKA_0809900"
"PF3D7_0911000","2e-04 (0.65)","-0.00023 (1)","-0.0061 (0.93)","0.16 (4.1e-42)","-0.087 (1.3e-06)","0.024 (6.4e-07)","0.055 (0.022)","-0.2 (2e-26)","-7.3e-06 (0.79)","-0.012 (0.64)","-7.8e-05 (1)","4.5e-05 (0.95)","8.9e-06 (1)","PKNH_0709000","PBANKA_0812100"
"PF3D7_0914400","5.7e-05 (0.94)","-4.4e-05 (1)","-4e-05 (0.76)","0.0028 (0.00026)","0.031 (1.4e-14)","0.0085 (0.14)","-0.0096 (0.61)","0.6 (4.9e-27)","-0.72 (6.1e-15)","-0.0019 (0.58)","8.2e-05 (1)","0.00011 (0.95)","-3.1e-06 (1)","PKNH_0712300","PBANKA_0815400"
"PF3D7_0914600","0 (1)","0.0097 (1)","-0.0096 (0.93)","-0.078 (2.5e-25)","-0.012 (0.02)","0.00038 (0.63)","0.031 (8.8e-05)","0.014 (0.0023)","-0.064 (1.3e-07)","-0.00022 (0.87)","2.2e-05 (1)","0 (1)","0 (1)","PKNH_0712500","PBANKA_0815600"
"PF3D7_0918200.1","-0.031 (0.65)","0.00024 (1)","0.00035 (1)","0.13 (1e-28)","-0.065 (3e-07)","-0.015 (3.9e-12)","-0.0065 (0.49)","-0.036 (3.6e-15)","1.3e-05 (0.086)","-3.2e-05 (1.4e-06)","8e-06 (1)","-5.5e-05 (0.95)","-8.4e-07 (1)","PKNH_0716200","PBANKA_0819200"
"PF3D7_0921200","0.063 (0.65)","0.25 (0.9)","0.0053 (0.96)","-0.057 (6.6e-11)","-0.028 (2.3e-09)","-0.0037 (1.1e-06)","0.0038 (0.4)","-0.00047 (0.54)","2.6e-05 (4e-07)","-2.6e-06 (0.67)","6.5e-05 (0.9)","-4.1e-05 (0.96)","-9e-06 (1)","PKNH_0719200","PBANKA_0822100"
"PF3D7_0922700","3.1e-05 (0.65)","-0.016 (1)","0.0047 (0.93)","-0.013 (0.0021)","-0.0015 (0.63)","-0.0046 (2.7e-08)","0.0016 (0.62)","-0.0062 (4e-15)","1.4e-06 (0.66)","8.7e-06 (0.28)","-3.1e-07 (1)","-6.9e-07 (0.95)","1.4e-07 (0.71)","PKNH_0720700","PBANKA_0823600"
"PF3D7_0925000","3.2e-05 (0.65)","-0.00012 (1)","-0.014 (0.81)","0.0069 (0.23)","-0.013 (2.7e-07)","0.00066 (0.071)","-0.002 (0.17)","-0.00014 (0.041)","-1.8e-05 (0.44)","-9.6e-06 (0.11)","8.3e-06 (1)","2.1e-06 (1)","1.3e-06 (1)","PKNH_0722900","PBANKA_0825800"
"PF3D7_0926000","2.6e-05 (0.65)","0.038 (1)","-0.037 (0.74)","0.019 (0.099)","-0.074 (4.8e-15)","0.0024 (0.048)","0.017 (0.046)","-0.021 (2.6e-13)","-1.9e-05 (0.029)","-0.0017 (0.31)","-6.3e-20 (1)","0 (1)","4.1e-21 (1)","PKNH_0723900","PBANKA_0826800"
"PF3D7_0926300","-0.025 (0.65)","7.1e-05 (1)","-0.024 (0.73)","0.06 (3.6e-22)","-0.011 (0.3)","0.0057 (0.16)","-0.032 (0.03)","-0.01 (9.6e-08)","0.00021 (0.24)","0.025 (0.44)","0 (1)","-0.57 (0.95)","0 (1)","PKNH_0724200","PBANKA_0827100"
"PF3D7_0927500","0.00045 (0.65)","-0.00058 (0.011)","-2.1e-05 (0.9)","0.00036 (9.8e-06)","0.017 (4.5e-08)","0.14 (1e-47)","-0.077 (0.45)","-0.093 (0.00019)","-0.014 (0.82)","-0.0077 (0.6)","-3e-04 (1)","-0.0012 (0.95)","5.5e-06 (1)","PKNH_0725800","PBANKA_0828300"
"PF3D7_0928500","-0.0024 (0.65)","-0.015 (1)","-0.022 (0.74)","-0.055 (1.9e-19)","-0.0045 (0.0075)","0.00047 (0.043)","-0.0011 (0.37)","-7.4e-05 (0.3)","9.2e-05 (7.5e-18)","-5.7e-05 (3.9e-05)","2.6e-06 (1)","-8.7e-07 (1)","-2.2e-07 (1)","PKNH_0726900","PBANKA_0829300"
"PF3D7_0929200","0.33 (0.65)","-0.66 (0.69)","-0.012 (0.9)","-0.083 (1e-23)","-0.014 (0.00064)","-0.0029 (2.3e-08)","0.011 (0.13)","0.12 (1.5e-51)","-0.26 (1e-13)","0 (1)","0 (1)","0 (1)","0 (1)","PKNH_0727700","PBANKA_0830000"
"PF3D7_0929400","3.7e-21 (0.65)","1.5e-18 (0.85)","-0.0012 (0.71)","0.0077 (3.2e-20)","0.037 (5.2e-11)","-0.011 (1.1e-06)","0.0047 (0.6)","0.31 (1.3e-11)","0.059 (0.83)","-0.11 (0.019)","-1.3e-05 (1)","3.6e-20 (0.95)","-1.4e-21 (1)","PKNH_0727900","PBANKA_0830200"
"PF3D7_0929900","-1.2e-07 (1)","-0.00038 (0.041)","0.0021 (0.93)","0.026 (4e-05)","-0.0013 (0.88)","0.007 (0.0017)","0.056 (0.0011)","-0.052 (3.2e-10)","-0.00012 (0.096)","0.00042 (7.9e-09)","-0.00064 (1)","0.00013 (1)","7.4e-05 (1)","PKNH_0728400","PBANKA_0830600"
"PF3D7_0930200","0 (1)","0.069 (1)","0.01 (0.73)","-0.0027 (0.12)","-0.00027 (0.52)","0.00018 (0.54)","0.024 (9.1e-06)","0.93 (1.6e-58)","0.56 (0.0017)","-0.47 (0.0035)","0 (1)","0 (1)","0 (1)","PKNH_0728700","PBANKA_0830900"
"PF3D7_0931400","0 (1)","0.047 (1)","0.052 (0.74)","-0.0029 (0.83)","-0.11 (1.4e-15)","-0.0048 (0.033)","0.072 (5.5e-05)","-0.053 (6.1e-15)","0.008 (2.5e-06)","5.7e-05 (0.96)","0.00024 (0.85)","0.00016 (0.95)","2.3e-05 (1)","PKNH_0730100","PBANKA_0832200"
"PF3D7_0932200","-0.1 (0.93)","-0.2 (0.51)","-0.0083 (0.73)","0.012 (7.7e-05)","-0.011 (4e-04)","0.019 (3.6e-13)","0.3 (2.5e-13)","-0.28 (1.9e-23)","1.1 (4.8e-16)","-0.76 (5.1e-05)","0.032 (1)","0.49 (0.95)","0.021 (1)","PKNH_0730900","PBANKA_0833000"
"PF3D7_0933200","-0.057 (0.65)","-0.029 (1)","0.035 (0.66)","-0.014 (0.088)","0.021 (0.0077)","-0.03 (1.9e-37)","0.0065 (0.13)","0.013 (1.1e-08)","-0.00031 (0.41)","1.3e-05 (0.31)","-2.3e-06 (1)","-4.3e-06 (0.95)","7.2e-07 (0.71)","PKNH_0731900","PBANKA_0834000"
